Timestamp,University,Specialization,Employability,Salary_range,Job_Role
45007.529748553236,SLIIT,Information Systems Engineering,Internship / Traniee,15000 - 40000,Business Analysts
45007.531217048614,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,System and Data Administrators
45007.53242246528,SLIIT,Information Systems Engineering,Internship / Traniee,15000 - 40000,System Analysts
45007.53272329862,SLIIT,Cyber Security,Internship / Traniee,15000 - 40000,Cyber Security Professionals
45007.53479719907,SLIIT,Information Systems Engineering,Internship / Traniee,15000 - 40000,CIOs
45007.53552171296,SLIIT,Information Systems Engineering,Internship / Traniee,15000 - 40000,ERP Specialists
45007.53560173611,SLIIT,Information Technology,Internship / Traniee,50000 - 80000,System and Data Administrators
45007.5356467824,NSBM,Software Engineering,Engineer,50000 - 80000,Mobile Application Developers
45007.53734805556,SLIIT,Information Systems Engineering,Internship / Traniee,15000 - 40000,e-Business consultants
45007.53777378472,SLIIT,Information Systems Engineering,Associate,100000 - 150000,Product owner Release Managers
45007.53860476852,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,ICT infrastructure Engineers
45007.538994965274,SLIIT,Data Science,Internship / Traniee,15000 - 40000,Data Science Specialist
45007.54061636574,,Cyber Security,Internship / Traniee,15000 - 40000,Security Operations Center(SOC) Analysts
45007.543784837966,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,Network Engineers
45007.54922821759,SLIIT,Cyber Security,Internship / Traniee,15000 - 40000,Incident and Threat Managers
45007.55070010417,SLIIT,Data Science,Internship / Traniee,15000 - 40000,Business Intelligence Engineer Data Scientist
45007.55267391204,NSBM,Software Engineering,Associate,300000 - 500000,Full Stack Developers
45007.55272900463,SLIIT,Information Systems Engineering,Internship / Traniee,50000 - 80000,IS Support Engineers
45007.55349423611,SLIIT,Cyber Security,Internship / Traniee,15000 - 40000,Incident and Threat Managers
45007.56250652778,SLIIT,Software Engineering,Internship / Traniee,50000 - 80000,Mobile Application Developers
45007.57368075231,ICBT,Software Engineering,Internship / Traniee,15000 - 40000,Full Stack Developers
45007.5740428125,SLIIT,Information Technology,Associate,50000 - 80000,Information Assurance Engineers
45007.57532938657,SLIIT,Software Engineering,Associate,50000 - 80000,UI/UX Engineers
45007.578572314815,ICBT,Computer Systems & Network Engineering,Senior Engineer,300000 - 500000,Computer Systems Administrators
45007.579394155095,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,Information Assurance Engineers
45007.58568462963,NSBM,Data Science,,50000 - 80000,Data Science Specialist
45007.59742524306,SLIIT,Software Engineering,Internship / Traniee,15000 - 40000,Mobile Application Developers
45007.608447384264,SLIIT,Software Engineering,Associate,100000 - 150000,System Analysts
45007.6128553125,SLIIT,Computer Systems & Network Engineering,Engineer,160000 - 250000,Develops Engineers
45007.61923635416,SLIIT,Cyber Security,Internship / Traniee,15000 - 40000,Network Security Specialists
45007.62552577547,SLIIT,Data Science,Internship / Traniee,15000 - 40000,Machine Learning Engineer
45007.626169537034,SLIIT,Data Science,Internship / Traniee,50000 - 80000,Data Engineer
45007.62715626157,SLIIT,Information Technology,Engineer,100000 - 150000,Network Engineers
45007.62801561343,SLIIT,Data Science,Internship / Traniee,15000 - 40000,Big Data Application Developer
45007.632177164356,NSBM,Information Technology,Internship / Traniee,50000 - 80000,ICT infrastructure Engineers
45007.63519572916,SLTC,Cyber Security,Internship / Traniee,50000 - 80000,Cyber Security Professionals
45007.63628474537,SLIIT,Data Science,Internship / Traniee,15000 - 40000,Database Administrator
45007.64874369213,SLIIT,Software Engineering,Internship / Traniee,15000 - 40000,System Analysts
45007.65220578704,SLIIT,Cyber Security,Internship / Traniee,15000 - 40000,System Architects
45007.659818541666,SLIIT,Information Systems Engineering,Internship / Traniee,15000 - 40000,IS Administrators
45007.666683993055,SLIIT,Information Systems Engineering,Internship / Traniee,15000 - 40000,Database Administrator
45007.67741885417,NSBM,Software Engineering,Associate,50000 - 80000,Mobile Application Developers
45007.67769921296,NSBM,Software Engineering,Associate,50000 - 80000,System Analysts
45007.712147928236,SLIIT,Information Technology,Internship / Traniee,50000 - 80000,ICT infrastructure Engineers
45007.71380712963,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,ICT infrastructure Engineers
45007.72828793981,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,System and Data Administrators
45007.72911327546,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,Information Assurance Engineers
45007.7497472338,NSBM,Computer Systems & Network Engineering,Associate,50000 - 80000,Database Administrators Cloud
45007.768469456016,SLIIT,Cyber Security,Internship / Traniee,15000 - 40000,Cyber Security Professionals
45007.793644895835,SLIIT,Software Engineering,Internship / Traniee,15000 - 40000,UI/UX Engineers
45007.8772471875,SLIIT,Information Technology,Associate,50000 - 80000,Information Assurance Engineers
45007.87731888889,SLIIT,Information Technology,Associate,50000 - 80000,Network Engineers
45007.87742491898,SLIIT,Information Technology,Associate,50000 - 80000,Information Assurance Engineers
45008.3364134838,SLIIT,Information Systems Engineering,Internship / Traniee,50000 - 80000,Information Systems Engineer
45008.38133770833,SLIIT,Software Engineering,Internship / Traniee,15000 - 40000,Full Stack Developers
45008.38140842592,,Data Science,Internship / Traniee,15001 - 40000,Data Analyst
45008.48974693287,SLIIT,Computer Systems & Network Engineering,Internship / Traniee,50000 - 80000,Computer Systems Administrators
45008.77188696759,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,ICT infrastructure Engineers
45009.338377708336,SLIIT,Cyber Security,Internship / Traniee,15001 - 40000,System Architects
45012.45108353009,SLIIT,Software Engineering,Internship / Traniee,15000 - 40000,System Analysts
45050.64559829861,SLIIT,Information Technology,Internship / Traniee,15000 - 40000,ICT infrastructure Engineers
